text,aspect,v,a,id,category,opinion,source
"then the next day , same thing , screen goes black and it dies .",NULL,3.0,5.83,laptop_quad_train_118,LAPTOP#OPERATION_PERFORMANCE,dies,eng_laptop_train_alltasks
im returning it .,NULL,4.25,4.75,laptop_quad_train_119,LAPTOP#GENERAL,NULL,eng_laptop_train_alltasks
i will constantly be thinking about how it will probably fall apart in a few moths .,NULL,4.67,5.33,laptop_quad_train_120,LAPTOP#QUALITY,NULL,eng_laptop_train_alltasks
"aside from that , laptop seems fine .",laptop,6.12,6.0,laptop_quad_train_121,LAPTOP#GENERAL,fine,eng_laptop_train_alltasks
feel like at max brightness it just isn ' t enough .,NULL,4.62,5.12,laptop_quad_train_122,DISPLAY#OPERATION_PERFORMANCE,NULL,eng_laptop_train_alltasks
no backlit keyboard is kinda a bummer but i digress .,backlit keyboard,4.12,5.88,laptop_quad_train_123,KEYBOARD#DESIGN_FEATURES,kinda a bummer,eng_laptop_train_alltasks
the issue is that i got a faulty laptop and that ' s why the negative review .,laptop,2.17,7.5,laptop_quad_train_124,LAPTOP#QUALITY,faulty,eng_laptop_train_alltasks
the issue is that i got a faulty laptop and that ' s why the negative review .,laptop,2.5,7.17,laptop_quad_train_124,LAPTOP#QUALITY,negative,eng_laptop_train_alltasks
"i went with the asus vivobook based on the good specs , better hdd and ram , reviews , and because i could pay for it over several months .",asus vivobook,6.83,6.83,laptop_quad_train_125,LAPTOP#PRICE,NULL,eng_laptop_train_alltasks
"i went with the asus vivobook based on the good specs , better hdd and ram , reviews , and because i could pay for it over several months .",hdd,7.5,7.33,laptop_quad_train_125,HARDWARE#GENERAL,better,eng_laptop_train_alltasks
"i went with the asus vivobook based on the good specs , better hdd and ram , reviews , and because i could pay for it over several months .",ram,7.5,7.33,laptop_quad_train_125,MEMORY#GENERAL,better,eng_laptop_train_alltasks
"i went with the asus vivobook based on the good specs , better hdd and ram , reviews , and because i could pay for it over several months .",specs,7.33,7.17,laptop_quad_train_125,LAPTOP#DESIGN_FEATURES,good,eng_laptop_train_alltasks
their only solution was for me to go through the whole rma process and mail the laptop back for repair which would take weeks .,NULL,3.88,5.62,laptop_quad_train_126,SUPPORT#GENERAL,NULL,eng_laptop_train_alltasks
"i ' m amazed how bad this machine is for the money , and for being described as a mid - level gamer .",machine,3.33,6.67,laptop_quad_train_127,LAPTOP#PRICE,bad,eng_laptop_train_alltasks
"i ' m amazed how bad this machine is for the money , and for being described as a mid - level gamer .",machine,3.33,6.67,laptop_quad_train_127,LAPTOP#GENERAL,bad,eng_laptop_train_alltasks
it stutters on a 10 year old game .,NULL,3.88,5.0,laptop_quad_train_128,LAPTOP#OPERATION_PERFORMANCE,NULL,eng_laptop_train_alltasks
"the form factor is nice , but the power key is in the upper right , easy to hit when using backspac nor page up .",form factor,7.0,7.25,laptop_quad_train_129,LAPTOP#DESIGN_FEATURES,nice,eng_laptop_train_alltasks
"the form factor is nice , but the power key is in the upper right , easy to hit when using backspac nor page up .",power key,5.0,5.0,laptop_quad_train_129,KEYBOARD#DESIGN_FEATURES,NULL,eng_laptop_train_alltasks
thanks amazon for your great return policy !,amazon,7.5,7.5,laptop_quad_train_130,COMPANY#GENERAL,great,eng_laptop_train_alltasks
thanks amazon for your great return policy !,return policy,7.5,7.5,laptop_quad_train_130,SUPPORT#GENERAL,great,eng_laptop_train_alltasks
super thin - love the color - had to completely remove the operating system though - too many viruses already on the computer when received - had to get my own operating system and re - install everything,operating system,4.0,4.62,laptop_quad_train_131,OS#GENERAL,NULL,eng_laptop_train_alltasks
6 inch laptop it appears fragile the keyboard itself feels like the keys will pop out .,6 inch laptop,4.0,4.62,laptop_quad_train_132,LAPTOP#QUALITY,fragile,eng_laptop_train_alltasks
6 inch laptop it appears fragile the keyboard itself feels like the keys will pop out .,keyboard,4.38,5.12,laptop_quad_train_132,KEYBOARD#QUALITY,NULL,eng_laptop_train_alltasks
6 inch laptop it appears fragile the keyboard itself feels like the keys will pop out .,keys,4.38,5.12,laptop_quad_train_132,KEYBOARD#QUALITY,NULL,eng_laptop_train_alltasks
sad that i can ' t return this one .,NULL,3.25,5.2,laptop_quad_train_133,WARRANTY#GENERAL,sad,eng_laptop_train_alltasks
plus the screen is bland .,screen,3.0,7.0,laptop_quad_train_134,DISPLAY#OPERATION_PERFORMANCE,bland,eng_laptop_train_alltasks
with this asus i ' m experiencing 2 very disappointing issues .,asus,3.38,7.0,laptop_quad_train_135,LAPTOP#GENERAL,very disappointing,eng_laptop_train_alltasks
graphic issues : after opening any page or window with a black or dark color and i go back to a more bright or white page it takes at least 5 good second to gain the full luminosity,graphic,3.75,4.88,laptop_quad_train_136,GRAPHICS#OPERATION_PERFORMANCE,NULL,eng_laptop_train_alltasks
"suddenly the keyboard goes crazy , starting on his own typing non stop mmmmmmmmm .",keyboard,2.75,7.0,laptop_quad_train_137,KEYBOARD#OPERATION_PERFORMANCE,crazy,eng_laptop_train_alltasks
this is very disappointing an causing me big issues while i write .,NULL,2.9,4.4,laptop_quad_train_138,KEYBOARD#OPERATION_PERFORMANCE,very disappointing,eng_laptop_train_alltasks
"it looks great as design , fast , but this 2 issues make it the worst buy of the past 10 years for me .",NULL,7.25,7.5,laptop_quad_train_139,LAPTOP#DESIGN_FEATURES,great,eng_laptop_train_alltasks
"it looks great as design , fast , but this 2 issues make it the worst buy of the past 10 years for me .",NULL,6.75,7.0,laptop_quad_train_139,LAPTOP#OPERATION_PERFORMANCE,fast,eng_laptop_train_alltasks
"it looks great as design , fast , but this 2 issues make it the worst buy of the past 10 years for me .",NULL,2.75,4.5,laptop_quad_train_139,LAPTOP#GENERAL,worst,eng_laptop_train_alltasks
the keys are easy to type on and the laptop itself is thin yet feels solid and well constructed .,keys,6.25,6.25,laptop_quad_train_140,KEYBOARD#USABILITY,easy,eng_laptop_train_alltasks
the keys are easy to type on and the laptop itself is thin yet feels solid and well constructed .,laptop,6.38,6.38,laptop_quad_train_140,LAPTOP#DESIGN_FEATURES,solid,eng_laptop_train_alltasks
the keys are easy to type on and the laptop itself is thin yet feels solid and well constructed .,laptop,6.62,6.88,laptop_quad_train_140,LAPTOP#DESIGN_FEATURES,well constructed,eng_laptop_train_alltasks
this is a well constructed and powerful laptop that is perfect for everyday use as well as some otherwise intensive task such as large spreadsheets or presentations .,laptop,7.75,7.25,laptop_quad_train_141,LAPTOP#GENERAL,well constructed,eng_laptop_train_alltasks
this is a well constructed and powerful laptop that is perfect for everyday use as well as some otherwise intensive task such as large spreadsheets or presentations .,laptop,8.0,7.5,laptop_quad_train_141,LAPTOP#GENERAL,perfect,eng_laptop_train_alltasks
this is a well constructed and powerful laptop that is perfect for everyday use as well as some otherwise intensive task such as large spreadsheets or presentations .,laptop,7.25,7.25,laptop_quad_train_141,LAPTOP#GENERAL,powerful,eng_laptop_train_alltasks
i double checked the outside labels and upon opening the box saw that the laptop had several deep scratches on the bottom of it .,laptop,3.88,5.62,laptop_quad_train_142,LAPTOP#QUALITY,NULL,eng_laptop_train_alltasks
i contacted amazon and have been issued a refund and ordered a replacement .,amazon,5.0,5.0,laptop_quad_train_143,COMPANY#GENERAL,NULL,eng_laptop_train_alltasks
the m key popped off during initial setup .,m key,3.88,6.12,laptop_quad_train_144,KEYBOARD#QUALITY,NULL,eng_laptop_train_alltasks
amazon is 2 - day shipping me a replacement .,amazon,5.12,5.12,laptop_quad_train_145,COMPANY#GENERAL,NULL,eng_laptop_train_alltasks
"i love it at first , but today my laptop wasn ' t not charging any more .",laptop,7.0,7.0,laptop_quad_train_146,LAPTOP#GENERAL,love,eng_laptop_train_alltasks
"i love it at first , but today my laptop wasn ' t not charging any more .",laptop,5.0,5.0,laptop_quad_train_146,LAPTOP#OPERATION_PERFORMANCE,NULL,eng_laptop_train_alltasks
i noticed today the laptop was not charging anymore .,laptop,2.75,6.88,laptop_quad_train_147,LAPTOP#OPERATION_PERFORMANCE,NULL,eng_laptop_train_alltasks
it is very very disappointing .,NULL,2.6,4.9,laptop_quad_train_148,LAPTOP#GENERAL,very very disappointing,eng_laptop_train_alltasks
edit : reinstalled the driver now the audio is better on earphones .,audio,7.17,7.5,laptop_quad_train_149,MULTIMEDIA_DEVICES#GENERAL,better,eng_laptop_train_alltasks
camera is sd but not a problem .,camera,5.12,5.12,laptop_quad_train_150,HARDWARE#GENERAL,NULL,eng_laptop_train_alltasks
fingerprint scanner works well .,fingerprint scanner,7.25,7.12,laptop_quad_train_151,MULTIMEDIA_DEVICES#GENERAL,well,eng_laptop_train_alltasks
back lit keyboard should be a standard by now !,back lit keyboard,5.25,5.12,laptop_quad_train_152,KEYBOARD#GENERAL,NULL,eng_laptop_train_alltasks
battery is all day amazing,battery,7.75,8.0,laptop_quad_train_153,BATTERY#GENERAL,amazing,eng_laptop_train_alltasks
with ssd lightning fast start up,ssd,6.62,6.5,laptop_quad_train_154,MEMORY#OPERATION_PERFORMANCE,fast,eng_laptop_train_alltasks
no back light keyboard,keyboard,4.5,5.0,laptop_quad_train_155,KEYBOARD#DESIGN_FEATURES,NULL,eng_laptop_train_alltasks
performance is mediocre,NULL,5.25,5.5,laptop_quad_train_156,LAPTOP#OPERATION_PERFORMANCE,mediocre,eng_laptop_train_alltasks
consideration : if you are of average frame and strength then this build will be perfect and the keyboard flex and body is the perfect fit between lightweight and rigidity .,build,7.67,8.0,laptop_quad_train_157,LAPTOP#DESIGN_FEATURES,perfect,eng_laptop_train_alltasks
consideration : if you are of average frame and strength then this build will be perfect and the keyboard flex and body is the perfect fit between lightweight and rigidity .,keyboard,7.5,7.67,laptop_quad_train_157,KEYBOARD#DESIGN_FEATURES,flex,eng_laptop_train_alltasks
consideration : if you are of average frame and strength then this build will be perfect and the keyboard flex and body is the perfect fit between lightweight and rigidity .,body,7.67,8.0,laptop_quad_train_157,LAPTOP#DESIGN_FEATURES,perfect,eng_laptop_train_alltasks
consideration : if you are of average frame and strength then this build will be perfect and the keyboard flex and body is the perfect fit between lightweight and rigidity .,body,7.17,7.33,laptop_quad_train_157,LAPTOP#DESIGN_FEATURES,lightweight,eng_laptop_train_alltasks
consideration : if you are of average frame and strength then this build will be perfect and the keyboard flex and body is the perfect fit between lightweight and rigidity .,body,6.83,7.17,laptop_quad_train_157,LAPTOP#DESIGN_FEATURES,rigidity .,eng_laptop_train_alltasks
"my friends , both female and male , are going to by this set up for their travel needs but for me it is lacking .",set up,3.75,7.0,laptop_quad_train_158,LAPTOP#USABILITY,lacking,eng_laptop_train_alltasks
this adds to my need for a strong system and willing to sacrifice some weight for strength .,system,7.17,6.83,laptop_quad_train_159,OS#OPERATION_PERFORMANCE,strong,eng_laptop_train_alltasks
best for : if you are looking for a travel laptop and are planning on doing light work this is an amazing buy for the price .,laptop,7.88,7.62,laptop_quad_train_160,LAPTOP#PORTABILITY,amazing,eng_laptop_train_alltasks
best for : if you are looking for a travel laptop and are planning on doing light work this is an amazing buy for the price .,laptop,7.88,7.62,laptop_quad_train_160,LAPTOP#PRICE,amazing,eng_laptop_train_alltasks
not only is it light the battery charger is tiny and with the thin bezels this is a super compact design .,NULL,7.17,7.0,laptop_quad_train_161,LAPTOP#PORTABILITY,light,eng_laptop_train_alltasks
not only is it light the battery charger is tiny and with the thin bezels this is a super compact design .,battery charger,7.17,7.0,laptop_quad_train_161,POWERSUPPLY#DESIGNFEATURES,tiny,eng_laptop_train_alltasks
not only is it light the battery charger is tiny and with the thin bezels this is a super compact design .,bezels,7.33,7.33,laptop_quad_train_161,LAPTOP#DESIGN_FEATURES,thin,eng_laptop_train_alltasks
not only is it light the battery charger is tiny and with the thin bezels this is a super compact design .,design,7.33,7.17,laptop_quad_train_161,LAPTOP#DESIGN_FEATURES,super compact,eng_laptop_train_alltasks
even with the fan and heat if you use a cool mat on your lap you will be find especially with the screen being amazing for the price .,fan,5.67,5.5,laptop_quad_train_162,FANS_COOLING#GENERAL,NULL,eng_laptop_train_alltasks
even with the fan and heat if you use a cool mat on your lap you will be find especially with the screen being amazing for the price .,screen,7.5,7.17,laptop_quad_train_162,DISPLAY#PRICE,amazing,eng_laptop_train_alltasks
for the price it is an amazing starting point and hard to beat especially with such an amazing brand such as asus .,NULL,7.62,7.88,laptop_quad_train_163,LAPTOP#PRICE,amazing,eng_laptop_train_alltasks
for the price it is an amazing starting point and hard to beat especially with such an amazing brand such as asus .,asus,6.25,6.38,laptop_quad_train_163,COMPANY#GENERAL,NULL,eng_laptop_train_alltasks
oh and this is a beautiful machine and the lid is amazing .,machine,7.5,7.83,laptop_quad_train_164,LAPTOP#DESIGN_FEATURES,beautiful,eng_laptop_train_alltasks
oh and this is a beautiful machine and the lid is amazing .,lid,7.67,8.0,laptop_quad_train_164,LAPTOP#DESIGN_FEATURES,amazing,eng_laptop_train_alltasks
"i like the laptop for it ' s hardware , and it ' s working properly .",hardware,6.5,6.88,laptop_quad_train_165,HARDWARE#GENERAL,like,eng_laptop_train_alltasks
"i like the laptop for it ' s hardware , and it ' s working properly .",laptop,6.62,6.62,laptop_quad_train_165,LAPTOP#OPERATION_PERFORMANCE,NULL,eng_laptop_train_alltasks
the actual laptop is very much darker and blue .,actual laptop,5.0,5.0,laptop_quad_train_166,LAPTOP#DESIGN_FEATURES,NULL,eng_laptop_train_alltasks
i ' m not at all happy about that .,NULL,3.67,6.33,laptop_quad_train_167,LAPTOP#DESIGN_FEATURES,not at all happy,eng_laptop_train_alltasks
the new computer failed again with the same error .,computer,3.25,6.62,laptop_quad_train_168,LAPTOP#QUALITY,failed again,eng_laptop_train_alltasks
i am sure amazon will exchange it again but it is not worth the time and hassle .,amazon,4.88,4.88,laptop_quad_train_169,COMPANY#GENERAL,NULL,eng_laptop_train_alltasks
i am sure amazon will exchange it again but it is not worth the time and hassle .,NULL,3.38,4.5,laptop_quad_train_169,LAPTOP#GENERAL,not worth,eng_laptop_train_alltasks
the speakers are also not great and the max volume on watching netflix or other videos is rather quite .,speakers,2.83,6.17,laptop_quad_train_170,MULTIMEDIADEVICES#OPERATIONPERFORMANCE,not great,eng_laptop_train_alltasks
"its an ok laptop , it makes crackling annoying noises sometimes , im worried that it will become worse with time so i will be returning it , also the speakers are really bad , keyboard is good enough .",laptop,3.17,6.67,laptop_quad_train_171,LAPTOP#OPERATION_PERFORMANCE,crackling annoying,eng_laptop_train_alltasks
"its an ok laptop , it makes crackling annoying noises sometimes , im worried that it will become worse with time so i will be returning it , also the speakers are really bad , keyboard is good enough .",speakers,2.67,7.0,laptop_quad_train_171,MULTIMEDIA_DEVICES#GENERAL,really bad,eng_laptop_train_alltasks
"its an ok laptop , it makes crackling annoying noises sometimes , im worried that it will become worse with time so i will be returning it , also the speakers are really bad , keyboard is good enough .",keyboard,6.17,5.83,laptop_quad_train_171,KEYBOARD#GENERAL,good,eng_laptop_train_alltasks
the computer constantly pauses or stutters and then continues when it comes to loading web pages and working on documents .,computer,4.5,5.25,laptop_quad_train_172,LAPTOP#QUALITY,NULL,eng_laptop_train_alltasks
"overall , i ' m not very pleased with this computer .",computer,3.38,6.38,laptop_quad_train_173,LAPTOP#GENERAL,not very pleased,eng_laptop_train_alltasks
not happy with this one .,NULL,3.62,5.88,laptop_quad_train_174,LAPTOP#GENERAL,not happy,eng_laptop_train_alltasks
"the computer worked well for a few weeks , then the screen backlight died .",computer,6.75,7.0,laptop_quad_train_175,LAPTOP#GENERAL,well,eng_laptop_train_alltasks
"the computer worked well for a few weeks , then the screen backlight died .",screen backlight,2.88,7.25,laptop_quad_train_175,DISPLAY#OPERATION_PERFORMANCE,died,eng_laptop_train_alltasks
the laptop does n ' t work .,laptop,4.25,4.88,laptop_quad_train_176,LAPTOP#QUALITY,NULL,eng_laptop_train_alltasks
i ' ve tried every single option and still ca n ' t use it .,NULL,4.12,4.62,laptop_quad_train_177,LAPTOP#OPERATION_PERFORMANCE,NULL,eng_laptop_train_alltasks
unable to contact asus support for help .,asus support,2.62,6.38,laptop_quad_train_178,SUPPORT#GENERAL,NULL,eng_laptop_train_alltasks
will never buy an asus product again .,asus product,4.5,5.12,laptop_quad_train_179,LAPTOP#GENERAL,NULL,eng_laptop_train_alltasks
should ' ve stick with my pixelbook which was awesome and never have me trouble .,pixelbook,7.83,7.83,laptop_quad_train_180,LAPTOP#GENERAL,awesome,eng_laptop_train_alltasks
"return window is just a month , nothing can be done and now i am on mercy of asus .",asus,4.62,5.25,laptop_quad_train_181,COMPANY#GENERAL,NULL,eng_laptop_train_alltasks
no backlighting on the keyboard .,keyboard,4.2,5.3,laptop_quad_train_182,KEYBOARD#DESIGN_FEATURES,NULL,eng_laptop_train_alltasks
( i had to check that the caps lock was off after typing that last word . ),caps lock,5.0,5.0,laptop_quad_train_183,KEYBOARD#OPERATION_PERFORMANCE,NULL,eng_laptop_train_alltasks
"for the backlighting , he sent me some zip files for atk and chipset which i don ' t know how to use and which i shouldn ' t have to use .",NULL,4.62,5.12,laptop_quad_train_184,SUPPORT#GENERAL,NULL,eng_laptop_train_alltasks
the fan blows like crazy and it makes so much noise .,fan,3.0,7.0,laptop_quad_train_185,FANSCOOLING#OPERATIONPERFORMANCE,crazy,eng_laptop_train_alltasks
i don ' t even think i will be able to work on this it is so distracting .,NULL,2.83,7.0,laptop_quad_train_186,LAPTOP#OPERATION_PERFORMANCE,so distracting,eng_laptop_train_alltasks
"this laptop was delivered with the screen broken , it was the christmas gift and when we removed the gift paper se found a laptop thant not worked , that ' s unfair and that should not be done yo any people on christmas night",NULL,2.12,7.5,laptop_quad_train_187,LAPTOP#GENERAL,unfair,eng_laptop_train_alltasks
battery life is only 3 .,battery life,3.75,5.75,laptop_quad_train_188,BATTERY#OPERATION_PERFORMANCE,NULL,eng_laptop_train_alltasks
high speed laptop,laptop,7.12,7.0,laptop_quad_train_189,LAPTOP#OPERATION_PERFORMANCE,high,eng_laptop_train_alltasks
mousepad doesn ' t work .,mousepad,4.38,4.88,laptop_quad_train_190,HARDWARE#QUALITY,NULL,eng_laptop_train_alltasks
i have used this laptop only for work and the battery lasts and hour at most on mid performance .,laptop,5.0,5.0,laptop_quad_train_191,LAPTOP#GENERAL,NULL,eng_laptop_train_alltasks
i have used this laptop only for work and the battery lasts and hour at most on mid performance .,battery,4.67,4.5,laptop_quad_train_191,BATTERY#OPERATION_PERFORMANCE,NULL,eng_laptop_train_alltasks
will not be buying asus again,asus,4.25,5.5,laptop_quad_train_192,LAPTOP#GENERAL,NULL,eng_laptop_train_alltasks
two cons i ' m disappointed about is the battery life and the flimsy keyboard .,battery life,2.88,5.67,laptop_quad_train_193,BATTERY#OPERATION_PERFORMANCE,cons,eng_laptop_train_alltasks
two cons i ' m disappointed about is the battery life and the flimsy keyboard .,battery life,2.88,5.67,laptop_quad_train_193,BATTERY#OPERATION_PERFORMANCE,disappointed,eng_laptop_train_alltasks
two cons i ' m disappointed about is the battery life and the flimsy keyboard .,keyboard,2.88,5.67,laptop_quad_train_193,KEYBOARD#GENERAL,cons,eng_laptop_train_alltasks
two cons i ' m disappointed about is the battery life and the flimsy keyboard .,keyboard,2.75,5.62,laptop_quad_train_193,KEYBOARD#GENERAL,flimsy,eng_laptop_train_alltasks
has a genaric feel to it .,NULL,5.5,4.75,laptop_quad_train_194,LAPTOP#GENERAL,genaric,eng_laptop_train_alltasks
they seemed to do nothing : fixing it was apparently my job .,NULL,4.38,5.5,laptop_quad_train_195,SUPPORT#GENERAL,NULL,eng_laptop_train_alltasks
so now i ' m stuck with this dog but i ' m going to do all i can to get out the word that asus support is not the customer ' s friend : it ' s the customer ' s cross to bear .,asus support,3.5,6.6,laptop_quad_train_196,SUPPORT#GENERAL,NULL,eng_laptop_train_alltasks
i ' ve had to reset the computer multiple times .,computer,4.5,5.12,laptop_quad_train_197,LAPTOP#OPERATION_PERFORMANCE,NULL,eng_laptop_train_alltasks
i returned it because the speaker is dead low .,speaker,3.5,6.5,laptop_quad_train_198,MULTIMEDIADEVICES#OPERATIONPERFORMANCE,low,eng_laptop_train_alltasks
good laptop but the webcam isn ' t good .,laptop,6.5,6.25,laptop_quad_train_199,LAPTOP#GENERAL,good,eng_laptop_train_alltasks
good laptop but the webcam isn ' t good .,webcam,4.0,5.0,laptop_quad_train_199,MULTIMEDIA_DEVICES#GENERAL,' t good,eng_laptop_train_alltasks
"i would not recommend you buying this laptop , the specs are fine for the price , but the hardware is rubbish .",laptop,4.0,4.25,laptop_quad_train_200,LAPTOP#GENERAL,not recommend,eng_laptop_train_alltasks
"i would not recommend you buying this laptop , the specs are fine for the price , but the hardware is rubbish .",specs,6.0,6.25,laptop_quad_train_200,LAPTOP#PRICE,fine,eng_laptop_train_alltasks
"i would not recommend you buying this laptop , the specs are fine for the price , but the hardware is rubbish .",hardware,2.75,7.25,laptop_quad_train_200,HARDWARE#GENERAL,rubbish,eng_laptop_train_alltasks
power button is right next to the delete key .,power button,4.12,5.0,laptop_quad_train_201,KEYBOARD#DESIGN_FEATURES,NULL,eng_laptop_train_alltasks
power button is right next to the delete key .,delete key,4.12,5.0,laptop_quad_train_201,KEYBOARD#DESIGN_FEATURES,NULL,eng_laptop_train_alltasks
"all around , a very lacking laptop .",laptop,3.25,7.25,laptop_quad_train_202,LAPTOP#GENERAL,very lacking,eng_laptop_train_alltasks
* * returning the device - - that unhappy with the item .,device,2.8,7.3,laptop_quad_train_203,LAPTOP#GENERAL,unhappy,eng_laptop_train_alltasks
* * returning the device - - that unhappy with the item .,item,2.7,7.4,laptop_quad_train_203,LAPTOP#GENERAL,unhappy,eng_laptop_train_alltasks
dead pixel on display on arrival,display,3.67,5.67,laptop_quad_train_204,DISPLAY#QUALITY,dead,eng_laptop_train_alltasks
the laptop charger has sparked repeatedly .,laptop charger,3.12,6.5,laptop_quad_train_205,POWERSUPPLY#OPERATIONPERFORMANCE,NULL,eng_laptop_train_alltasks
i will be returning this item .,item,2.4,6.75,laptop_quad_train_206,LAPTOP#GENERAL,NULL,eng_laptop_train_alltasks
do not buy it will not search what you type in i want my money back,NULL,4.75,5.25,laptop_quad_train_207,LAPTOP#GENERAL,NULL,eng_laptop_train_alltasks
this computer arrived fine but will not charge .,computer,6.5,6.67,laptop_quad_train_208,LAPTOP#GENERAL,fine,eng_laptop_train_alltasks
this computer arrived fine but will not charge .,computer,6.17,6.17,laptop_quad_train_208,LAPTOP#OPERATION_PERFORMANCE,NULL,eng_laptop_train_alltasks
how can a brand new computer not charge properly ?,computer,4.12,4.75,laptop_quad_train_209,LAPTOP#OPERATION_PERFORMANCE,NULL,eng_laptop_train_alltasks
screen backlight stopped working after just one month of light use .,screen backlight,3.3,6.6,laptop_quad_train_210,DISPLAY#OPERATION_PERFORMANCE,NULL,eng_laptop_train_alltasks
i received this laptop promptly .,laptop,7.38,7.38,laptop_quad_train_211,SHIPPING#GENERAL,NULL,eng_laptop_train_alltasks
"great battery life , a matte screen ( non - glossy ) full hd .",battery life,7.5,7.5,laptop_quad_train_212,BATTERY#GENERAL,great,eng_laptop_train_alltasks
"great battery life , a matte screen ( non - glossy ) full hd .",matte screen,7.5,7.5,laptop_quad_train_212,DISPLAY#GENERAL,NULL,eng_laptop_train_alltasks
it will however win with substance .,NULL,7.0,7.0,laptop_quad_train_213,LAPTOP#GENERAL,win,eng_laptop_train_alltasks
its about what is inside of this amazing product .,product,7.88,7.75,laptop_quad_train_214,LAPTOP#GENERAL,amazing,eng_laptop_train_alltasks
"the screen quality is excellent , and i am fussy due to my interest in digital imagery .",screen quality,7.5,7.25,laptop_quad_train_215,DISPLAY#QUALITY,excellent,eng_laptop_train_alltasks
"i can tell you for web surfing , the battery life is on par with what is advertised .",battery life,5.25,5.25,laptop_quad_train_216,BATTERY#GENERAL,NULL,eng_laptop_train_alltasks
i could n ' t have put my feelings about my new acer aspire e 15 e5 - 576g - 5762 better .,acer aspire e 15 e5 - 576g - 5762,7.62,7.88,laptop_quad_train_217,LAPTOP#GENERAL,better,eng_laptop_train_alltasks
"the 8th generation processor and ssd make for a very snappy computer , and the easy upgradablility is helpful now and will be useful in the future .",computer,7.67,7.83,laptop_quad_train_218,LAPTOP#OPERATION_PERFORMANCE,very snappy,eng_laptop_train_alltasks
"the 8th generation processor and ssd make for a very snappy computer , and the easy upgradablility is helpful now and will be useful in the future .",8th generation processor,7.83,8.0,laptop_quad_train_218,CPU#OPERATION_PERFORMANCE,very snappy,eng_laptop_train_alltasks
"the 8th generation processor and ssd make for a very snappy computer , and the easy upgradablility is helpful now and will be useful in the future .",ssd,8.0,8.17,laptop_quad_train_218,HARDWARE#GENERAL,very snappy,eng_laptop_train_alltasks
"the 8th generation processor and ssd make for a very snappy computer , and the easy upgradablility is helpful now and will be useful in the future .",NULL,7.33,7.5,laptop_quad_train_218,LAPTOP#USABILITY,easy,eng_laptop_train_alltasks
"the 8th generation processor and ssd make for a very snappy computer , and the easy upgradablility is helpful now and will be useful in the future .",NULL,7.5,7.67,laptop_quad_train_218,LAPTOP#USABILITY,helpful,eng_laptop_train_alltasks
"the 8th generation processor and ssd make for a very snappy computer , and the easy upgradablility is helpful now and will be useful in the future .",NULL,7.17,7.33,laptop_quad_train_218,LAPTOP#USABILITY,useful,eng_laptop_train_alltasks
"i / o : tons of ports , a dvd burner , solid keyboard with good feel to the key strokes , and a very precise and responsive trackpad .",ports,6.67,6.83,laptop_quad_train_219,PORTS#GENERAL,NULL,eng_laptop_train_alltasks
"i / o : tons of ports , a dvd burner , solid keyboard with good feel to the key strokes , and a very precise and responsive trackpad .",dvd burner,6.67,6.83,laptop_quad_train_219,OPTICAL_DRIVES#GENERAL,NULL,eng_laptop_train_alltasks
"i / o : tons of ports , a dvd burner , solid keyboard with good feel to the key strokes , and a very precise and responsive trackpad .",keyboard,7.5,7.67,laptop_quad_train_219,KEYBOARD#QUALITY,solid,eng_laptop_train_alltasks
"i / o : tons of ports , a dvd burner , solid keyboard with good feel to the key strokes , and a very precise and responsive trackpad .",keyboard,7.5,7.67,laptop_quad_train_219,KEYBOARD#QUALITY,good,eng_laptop_train_alltasks
"i / o : tons of ports , a dvd burner , solid keyboard with good feel to the key strokes , and a very precise and responsive trackpad .",key strokes,7.5,7.67,laptop_quad_train_219,KEYBOARD#QUALITY,solid,eng_laptop_train_alltasks
"i / o : tons of ports , a dvd burner , solid keyboard with good feel to the key strokes , and a very precise and responsive trackpad .",key strokes,7.5,7.67,laptop_quad_train_219,KEYBOARD#QUALITY,good,eng_laptop_train_alltasks
"i / o : tons of ports , a dvd burner , solid keyboard with good feel to the key strokes , and a very precise and responsive trackpad .",trackpad,7.5,7.67,laptop_quad_train_219,HARDWARE#OPERATION_PERFORMANCE,very precise,eng_laptop_train_alltasks
"i / o : tons of ports , a dvd burner , solid keyboard with good feel to the key strokes , and a very precise and responsive trackpad .",trackpad,7.5,7.67,laptop_quad_train_219,HARDWARE#OPERATION_PERFORMANCE,responsive,eng_laptop_train_alltasks
"plus the screen is matte , so bright lights are n ' t glaring .",screen,4.75,5.25,laptop_quad_train_220,DISPLAY#DESIGN_FEATURES,NULL,eng_laptop_train_alltasks
overall impression : this is a killer laptop for a killer deal !,laptop,8.12,8.25,laptop_quad_train_221,LAPTOP#GENERAL,killer,eng_laptop_train_alltasks
overall impression : this is a killer laptop for a killer deal !,laptop,7.0,7.0,laptop_quad_train_221,LAPTOP#PRICE,NULL,eng_laptop_train_alltasks
"i ' ve also discovered that the battery is better than i first thought , and will last 8 hours for light - duty activities such as web - surfing and word processing ; longer with power management on .",battery,7.17,7.5,laptop_quad_train_222,BATTERY#QUALITY,better,eng_laptop_train_alltasks
"my overall impression has not changed in the past 8 months , and i am still very impressed by it .",NULL,8.33,8.5,laptop_quad_train_223,LAPTOP#GENERAL,still very impressed,eng_laptop_train_alltasks
